station_id,name_uz,name_ru,line,lon,lat,walk_area_5,walk_pop_5,walk_area_10,walk_pop_10,walk_area_15,walk_pop_15,bike_area_5,bike_pop_5,bike_area_10,bike_pop_10,bike_area_15,bike_pop_15,prd_walk,prd_bike
CSV_30,Turkiston,Turkiston,Yunusobod Line,69.2960151,41.3775217,0.1342,281,0.9311,1991,2.6518,5807,1.6121,3366,7.6134,16702,15.842,34166,0.6425,0.5806
CSV_31,Olmos,Olmos,Ring Line (Yellow),69.3603338,41.281705,0.2925,561,1.454,2898,3.448,7002,1.1257,2387,8.228,17239,21.5644,43216,0.761,0.5298
CSV_32,Texnopark,Texnopark,Ring Line (Yellow),69.3231867,41.294628,0.0362,103,0.5423,1314,1.6992,3995,1.3382,3331,8.0187,18123,17.8443,39577,0.6535,0.4639
CSV_33,Yashnobod,Yashnobod,Ring Line (Yellow),69.3497831,41.2975859,0.197,442,1.1703,2599,3.0562,6784,2.0156,4522,8.8757,19203,21.9281,43566,0.6983,0.6481
CSV_34,Tuzel,Tuzel,Ring Line (Yellow),69.3561844,41.2920125,0.1918,454,1.2781,2991,3.2246,7367,2.2928,5340,11.023,22862,25.2737,47984,0.7188,0.6604
CSV_35,Rohat,Rohat,Ring Line (Yellow),69.3647517,41.2652907,0.1823,422,0.9622,2120,2.3185,4677,1.0716,1936,7.6725,12677,21.539,36011,0.7039,0.5052
CSV_36,Yangiobod,Yangiobod,Ring Line (Yellow),69.3587242,41.2565075,0.0872,206,0.3306,720,0.8836,1974,1.328,3185,5.4491,12577,12.7401,27195,0.401,0.4053
CSV_37,Qo‘yliq,Qo‘yliq,Ring Line (Yellow),69.3270001,41.2374579,0.0542,104,0.6924,1642,2.0326,4753,0.9576,2197,6.7346,14333,19.8076,155611,0.5591,0.4685
CSV_38,Matonat,Matonat,Ring Line (Yellow),69.3083229,41.2444713,0.2725,662,1.4437,3190,3.451,6996,1.8864,4177,9.6751,19723,23.7915,102292,0.8227,0.6829
CSV_39,Qiyot,Qiyot,Ring Line (Yellow),69.299728,41.2444796,0.141,250,1.0238,1980,2.7093,5359,2.2012,4361,10.8646,41517,22.7784,135548,0.6975,0.7147
CSV_40,Choshtepa,Choshtepa,Chilonzor Line,69.1960345,41.2382496,0.0866,140,0.6316,1139,1.7998,3435,0.4967,958,2.7392,5476,7.2841,14514,0.4862,0.2888
CSV_41,O‘zgarish,O‘zgarish,Chilonzor Line,69.2039714,41.2273364,0.2398,424,1.3327,2319,3.17,5560,1.2629,2209,8.1453,13324,20.1982,91739,0.7416,0.5218
CSV_42,Yangihayot,Yangihayot,Chilonzor Line,69.214015,41.2135099,0.3232,469,1.4163,7171,3.3998,37376,2.2659,9955,10.1959,137610,22.4375,365763,0.799,0.6684
CSV_43,Chinor,Chinor,Chilonzor Line,69.2189575,41.2066965,0.1455,7189,1.0396,44028,2.8701,97472,1.3902,55504,9.0677,265728,22.1292,521255,0.6983,0.5427
CSV_44,Tolarik,Tolarik,Ring Line (Yellow),69.2849568,41.2445139,0.2075,407,1.172,2356,3.0688,5716,0.964,1729,7.4236,14781,17.5355,118752,0.682,0.5305
CSV_45,Xonobod,Xonobod,Ring Line (Yellow),69.2704353,41.2300103,0.1722,1550,1.2384,20065,3.0131,52638,1.7617,31048,7.9727,162842,20.6065,402386,0.7276,0.5926
CSV_46,Quruvchilar,Quruvchilar,Ring Line (Yellow),69.2605033,41.2216367,0.1916,7788,1.027,41176,2.5368,91112,2.0677,76209,9.0875,269328,22.3763,584485,0.7345,0.6611
CSV_47,Qipchok,Qipchok,Ring Line (Yellow),69.2214112,41.2054229,0.2577,13650,1.3099,63476,3.1881,131150,2.41,108708,10.9264,342772,24.8139,627190,0.7702,0.7307
CSV_48,Turon,Turon,Ring Line (Yellow),69.234154,41.2106813,0.2393,11268,1.0686,52018,3.0046,143281,0.5321,22861,6.8208,265475,19.7881,572433,0.6607,0.3669
